mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9784163951873779,0.16035051362116357,0.04501686096191406,0.025596951962545075,40,20,False,"{'bootstrap': False, 'max_features': 40, 'n_estimators': 20}",0.9601217656012176,0.9643835616438357,0.9677321156773212,0.9732115677321157,0.9686358099878197,0.9668169641284619,0.004376843356501205,12,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
1.1312141418457031,0.10624389410054873,0.039785242080688475,0.0036899951986584046,40,30,False,"{'bootstrap': False, 'max_features': 40, 'n_estimators': 30}",0.9604261796042618,0.9640791476407915,0.9668188736681887,0.9713850837138508,0.9686358099878197,0.9662690189229824,0.0037686195527469966,15,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
0.6372006893157959,0.13786336819685543,0.028003978729248046,0.004760638803362857,50,10,False,"{'bootstrap': False, 'max_features': 50, 'n_estimators': 10}",0.9592085235920852,0.9628614916286149,0.967427701674277,0.971689497716895,0.968026796589525,0.9658428022402793,0.004344363052849248,18,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
0.9439947605133057,0.023603028525524816,0.03202180862426758,0.0009021157094419815,50,20,False,"{'bootstrap': False, 'max_features': 50, 'n_estimators': 20}",0.958599695585997,0.9643835616438357,0.9680365296803652,0.9710806697108066,0.968026796589525,0.9660254506421058,0.0042765103055622386,16,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
1.4629962921142579,0.13835652380847374,0.040613651275634766,0.00337302488411905,50,30,False,"{'bootstrap': False, 'max_features': 50, 'n_estimators': 30}",0.9604261796042618,0.963165905631659,0.967427701674277,0.971689497716895,0.9668087697929354,0.9659036108840056,0.0038500892276270497,17,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
0.5401974678039551,0.024858097720450185,0.02281923294067383,0.0007604799173512898,60,10,False,"{'bootstrap': False, 'max_features': 60, 'n_estimators': 10}",0.9595129375951293,0.9628614916286149,0.9668188736681887,0.9713850837138508,0.9665042630937881,0.9654165299399142,0.004003847870342972,20,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
1.260185146331787,0.18311295023019747,0.039007043838500975,0.006980100099409387,60,20,False,"{'bootstrap': False, 'max_features': 60, 'n_estimators': 20}",0.9579908675799087,0.963165905631659,0.9680365296803652,0.9719939117199391,0.965590742996346,0.9653555915216436,0.004697742089915178,21,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
1.6643823623657226,0.10547852314148858,0.040807485580444336,0.0014766724726757172,60,30,False,"{'bootstrap': False, 'max_features': 60, 'n_estimators': 30}",0.9579908675799087,0.9643835616438357,0.967427701674277,0.9719939117199391,0.9668087697929354,0.9657209624821791,0.004582339659065013,19,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
0.8809930801391601,0.05962057980359172,0.02738957405090332,0.002427288801361259,86,10,False,"{'bootstrap': False, 'max_features': 86, 'n_estimators': 10}",0.9567732115677321,0.9619482496194824,0.9659056316590563,0.967427701674277,0.9628501827040195,0.9629809954449134,0.003686378978191336,22,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
1.6210085868835449,0.11929272989183663,0.03281025886535645,0.001195835127680783,86,20,False,"{'bootstrap': False, 'max_features': 86, 'n_estimators': 20}",0.9570776255707762,0.9613394216133943,0.9656012176560121,0.967427701674277,0.9613276492082826,0.9625547231445486,0.0036334092708882756,24,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
2.505001497268677,0.18173877784324205,0.04200038909912109,0.0014009127943657791,86,30,False,"{'bootstrap': False, 'max_features': 86, 'n_estimators': 30}",0.9573820395738204,0.9613394216133943,0.9646879756468798,0.9683409436834094,0.9613276492082826,0.9626156059451573,0.0036810841980470348,23,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
